"block","proj_id","nocturnal_hours","block_effort","diurnal_hours"
"39077C2NE","EBIRD_ATL_MD_DC",0.433,55.484,55.051
"38076H7CW","EBIRD_ATL_MD_DC",0.167,55.209,55.042
"38076B4NW","EBIRD_ATL_MD_DC",0,55.069,55.069
"39076D2NW","EBIRD_ATL_MD_DC",0,54.458,54.458
"39077E8NW","EBIRD_ATL_MD_DC",0.15,53.888,53.738
"38076B3CW","EBIRD_ATL_MD_DC",1,53.882,52.882
"39077E2NE","EBIRD_ATL_MD_DC",0,53.255,53.255
"39077F4CW","EBIRD_ATL_MD_DC",0.05,52.951,52.901
"39076A5CW","EBIRD_ATL_MD_DC",0,52.049,52.049
"39077D1NE","EBIRD_ATL_MD_DC",2.118,51.962,49.844
"38076H8CE","EBIRD_ATL_MD_DC",0.083,51.906,51.823
"39076B8CW","EBIRD_ATL_MD_DC",0.667,51.749,51.082
"39076F2CW","EBIRD_ATL_MD_DC",0.533,51.72,51.187
"39076C7SE","EBIRD_ATL_MD_DC",1.234,51.61,50.376
"39076C6SE","EBIRD_ATL_MD_DC",0.834,51.519,50.685
"38075G8NW","EBIRD_ATL_MD_DC",0.384,51.086,50.702
"39076C5CE","EBIRD_ATL_MD_DC",0.75,50.71,49.96
"39076B1SW","EBIRD_ATL_MD_DC",1.165,49.933,48.768
"38075G8SW","EBIRD_ATL_MD_DC",0.15,49.933,49.783
"o38077F1CW","EBIRD_ATL_MD_DC",0.8,49.805,49.005
"39075B7CE","EBIRD_ATL_MD_DC",0,49.708,49.708
"38075H8CW","EBIRD_ATL_MD_DC",0,49.694,49.694
"39076D4NE","EBIRD_ATL_MD_DC",0.551,49.435,48.884
"39079E3SW","EBIRD_ATL_MD_DC",1.4,49.381,47.981
"o39077A4NW","EBIRD_ATL_MD_DC",0,49.311,49.311
"38076G3SE","EBIRD_ATL_MD_DC",0,48.734,48.734
"39076D8NW","EBIRD_ATL_MD_DC",1.717,48.368,46.651
"38076C6CE","EBIRD_ATL_MD_DC",1,48.252,47.252
"39079C4NW","EBIRD_ATL_MD_DC",6.301,47.966,41.665
"39079E1CE","EBIRD_ATL_MD_DC",0,47.853,47.853
"39075E8CW","EBIRD_ATL_MD_DC",4.634,47.511,42.877
"38075C8NE","EBIRD_ATL_MD_DC",3.418,47.5,44.082
"39077E4SW","EBIRD_ATL_MD_DC",0.199,47.211,47.012
"39076D3SW","EBIRD_ATL_MD_DC",0,47.178,47.178
"39076F3SW","EBIRD_ATL_MD_DC",0,47.049,47.049
"39076F6NW","EBIRD_ATL_MD_DC",0.184,47.001,46.817
"39079F1NE","EBIRD_ATL_MD_DC",0.133,46.785,46.652
"39077C3NW","EBIRD_ATL_MD_DC",0,46.748,46.748
"39076E1CE","EBIRD_ATL_MD_DC",0,46.171,46.171
"39077D6SW","EBIRD_ATL_MD_DC",0,45.467,45.467
"38075C2SE","EBIRD_ATL_MD_DC",4.966,45.419,40.453
"38075C3SW","EBIRD_ATL_MD_DC",0.149,45.22,45.071
"38076D7NW","EBIRD_ATL_MD_DC",0,45.053,45.053
"39077E5CW","EBIRD_ATL_MD_DC",0,44.964,44.964
"39075E7NW","EBIRD_ATL_MD_DC",0,44.864,44.864
"38076A4NE","EBIRD_ATL_MD_DC",0.5,44.682,44.182
"38075B4SW","EBIRD_ATL_MD_DC",0.033,44.482,44.449
"39076A5NE","EBIRD_ATL_MD_DC",0,44.233,44.233
"38077D1NE","EBIRD_ATL_MD_DC",0.75,44.083,43.333
"39075E8NE","EBIRD_ATL_MD_DC",0.402,43.997,43.595
"39076D3CW","EBIRD_ATL_MD_DC",0,43.388,43.388
"38076D4SE","EBIRD_ATL_MD_DC",0.833,43.234,42.401
"38076D8SE","EBIRD_ATL_MD_DC",2,43.117,41.117
"o37075H3CW","EBIRD_ATL_MD_DC",1,43.099,42.099
"38076G5SE","EBIRD_ATL_MD_DC",0.5,42.867,42.367
"39077D7CE","EBIRD_ATL_MD_DC",1,42.833,41.833
"38075F7NE","EBIRD_ATL_MD_DC",0,42.76,42.76
