atlas_block,priority,state
42077F8SE,no,New York
43076B8SE,no,New York
42077B4NE,no,New York
44074D4NE,no,New York
42075B2SE,no,New York
44074A6SW,no,New York
44074F2CE,yes,New York
42076H6SE,no,New York
42077H5SW,no,New York
44075B7SW,no,New York
42079B6SW,no,New York
44074A6SE,no,New York
44074F2CW,no,New York
42076H6SW,no,New York
42079B6SE,no,New York
42077H5SE,no,New York
44075B7SE,no,New York
42073C4NE,no,New York
42078G7SE,no,New York
44073D6CW,no,New York
44074D3NE,no,New York
43074C1CW,no,New York
43075E6CE,yes,New York
44075B1CE,yes,New York
44073D6CE,yes,New York
42073C4NW,yes,New York
42078G7SW,no,New York
44074D3NW,yes,New York
43074C1CE,yes,New York
44075B1CW,no,New York
43075E6CW,no,New York
43075F8CE,yes,New York
40072G8SE,no,New York
44075D5CW,no,New York
40072G8SW,no,New York
44075D5CE,yes,New York
43076C6CE,yes,New York
42077C2CE,yes,New York
42076B8SW,no,New York
43076C6CW,no,New York
42077C2CW,no,New York
42076B8SE,no,New York
42074A2CW,no,New York
41072A4CE,yes,New York
44075H1CW,no,New York
42077E2NE,no,New York
44073A5NW,yes,New York
41072A4CW,no,New York
42074A2CE,yes,New York
44075H1CE,yes,New York
44073A5NE,no,New York
42077E2NW,yes,New York
42076F5CE,yes,New York
43075F8CW,no,New York
44075C4NW,yes,New York
42076F5CW,no,New York
44075C4NE,no,New York
42075E3NE,no,New York
42075E3NW,yes,New York
42075G6NW,yes,New York
42075G6NE,no,New York
42077E5SE,no,New York
43074C5SW,no,New York
42074H6CW,no,New York
42077E5SW,no,New York
43074C5SE,no,New York
42074H6CE,yes,New York
42078F2SE,no,New York
42076G1CW,no,New York
43074A6CW,no,New York
42073B5NE,no,New York
42073C7CW,no,New York
42078F2SW,no,New York
42076G1CE,yes,New York
43074A6CE,yes,New York
42073C7CE,yes,New York
42073B5NW,yes,New York
42074A4NE,no,New York
43076A1NW,yes,New York
42074G7NE,no,New York
41076H4NE,no,New York
43076D3SW,no,New York
42073E8NW,yes,New York
42074A4NW,yes,New York
41076H4NW,no,New York
43076A1NE,no,New York
42074G7NW,yes,New York
43076D3SE,no,New York
42077C7CE,yes,New York
42077E3CW,no,New York
43075F5NW,yes,New York
42077G4NW,yes,New York
44075E5SE,no,New York
42074E4CE,yes,New York
44074H7CW,no,New York
42077E3CE,yes,New York
43075F5NE,no,New York
42077G4NE,no,New York
42074E4CW,no,New York
44074H7CE,yes,New York
44075E5SW,no,New York
43075E4NE,no,New York
42073E8NE,no,New York
43074D4SE,no,New York
43073D7CE,yes,New York
43075E4NW,yes,New York
42077C7CW,no,New York
43074D4SW,no,New York
43073D7CW,no,New York
43075D7SE,no,New York
40073H3SW,no,New York
42077F5NE,no,New York
44074B8CW,no,New York
43078C1NW,yes,New York
41075H1CW,no,New York
43075D7SW,no,New York
40073H3SE,no,New York
42077F5NW,yes,New York
44074B8CE,yes,New York
41075H1CE,yes,New York
43078C1NE,no,New York
42074H2SW,no,New York
41074B2CE,yes,New York
42074E1NW,yes,New York
41074B2CW,no,New York
41073H6SW,no,New York
42074H2SE,no,New York
42074E1NE,no,New York
42076E4SW,no,New York
42077G8NW,yes,New York
43077B7NW,yes,New York
42076E4SE,no,New York
42077G8NE,no,New York
42073F4CW,no,New York
42073F4CE,yes,New York
44074C3CE,yes,New York
42079B4NE,no,New York
41073G8NW,yes,New York
42074C3SW,no,New York
42074C3SE,no,New York
43074F7CW,no,New York
44074G6NE,no,New York
42076D2CW,no,New York
43077C7NW,yes,New York
42077F4CE,yes,New York
42073G5NE,no,New York
43076E1CW,no,New York
43077C7NE,no,New York
42073G5NW,yes,New York
42077F4CW,no,New York
42074A8NW,yes,New York
40073G4CE,yes,New York
40073F7NW,yes,New York
44075F1SE,no,New York
42073D8NW,yes,New York
40073G4CW,no,New York
42074A8NE,no,New York
40073F7NE,no,New York
42073D8NE,no,New York
42074D4NW,yes,New York
42078B8NW,yes,New York
42076F8SW,no,New York
42074D4NE,no,New York
42078B8NE,no,New York
42076F8SE,no,New York
44076C2CE,no,New York
43074D2NW,yes,New York
42079A5CW,no,New York
42076H5NE,no,New York
43075A7NE,no,New York
43074D2NE,no,New York
43074E5CW,no,New York
42076H5NW,yes,New York
42079A5CE,yes,New York
43075A7NW,yes,New York
42076B8NE,no,New York
42077C6NE,no,New York
42077H8CE,yes,New York
42076B8NW,yes,New York
42077H8CW,no,New York
44075B2NE,no,New York
44073A5SE,no,New York
44073H4NW,yes,New York
44075B2NW,yes,New York
44073A5SW,no,New York
44073H4NE,no,New York
42077G6NW,yes,New York
42075D7NE,no,New York
43073H4NE,no,New York
44074C5SW,no,New York
42075D7NW,yes,New York
43073H4NW,yes,New York
44074C5SE,no,New York
42076H4SE,no,New York
42077A5CE,yes,New York
43073C3NW,yes,New York
42075F1NW,yes,New York
43075G1NE,no,New York
42077A5CW,no,New York
42076H4SW,no,New York
42075F1NE,no,New York
43073C3NE,no,New York
42074G4CE,yes,New York
43073E4SE,no,New York
41073A8SW,no,New York
43077A8CW,no,New York
42074G4CW,no,New York
41073A8SE,no,New York
43073E4SW,no,New York
42077H4SE,no,New York
40074F1SW,no,New York
43075D3CE,yes,New York
42077H4SW,no,New York
40074F1SE,no,New York
43075D3CW,no,New York
40072H4CE,yes,New York
43075F7CW,no,New York
43073F6CW,no,New York
43077A8CE,yes,New York
42078D8SE,no,New York
42075C2SE,no,New York
42078D8SW,no,New York
42075C2SW,no,New York
42079C7SE,no,New York
43073G8NW,yes,New York
43073G8NE,no,New York
42076H5SW,no,New York
43075E4SW,no,New York
42076B3CW,no,New York
42076H5SE,no,New York
42076B3CE,yes,New York
41076H5NE,no,New York
43075E4SE,no,New York
42078B2SE,no,New York
43074B7NW,yes,New York
42078G4NW,yes,New York
42078B2SW,no,New York
42078G4NE,no,New York
42074H2NE,no,New York
43076D2CE,yes,New York
42074H2NW,yes,New York
43076D2CW,no,New York
44074D7NW,yes,New York
